,EuropeCovid_i2d,ifr_1,ifr_2,ifr_3,ifr_4,,EuropeCovid_i2d,i2d_2,i2d_3
1,1.30E-06,7.64E-05,0.015991871,0.006160105,0.005542555,,0.0000013,4.85641E-05,5.55629E-05
2,4.25E-05,0.001356318,0.130114987,0.063751272,0.058879375,,0.0000425,0.000702176,0.000865117
3,0.0002286,0.006577957,0.243672663,0.15735425,0.149015715,,0.0002286,0.00328544,0.004104639
4,0.0007811,0.017285995,0.244890119,0.209016599,0.202504637,,0.0007811,0.009453313,0.011134742
5,0.0019284,0.032796906,0.175894679,0.196606488,0.196027538,,0.0019284,0.019136835,0.022415025
6,0.003808,0.050459056,0.101537125,0.149833079,0.15335654,,0.003808,0.031446321,0.036248268
7,0.0064709,0.067119476,0.050600564,0.098352222,0.103287529,,0.0064709,0.044825237,0.050657113
8,0.0099405,0.080081097,0.022616787,0.058169344,0.06219278,,0.0099405,0.057407656,0.063595582
9,0.0140458,0.087745079,0.009205002,0.031184189,0.034711393,,0.0140458,0.067622128,0.073567783
10,0.0186132,0.090530725,0.003541396,0.015770663,0.018101108,,0.0186132,0.074466912,0.079378179
11,0.0234308,0.088053197,0.001274723,0.007582984,0.008921669,,0.0234308,0.077966629,0.08183621
12,0.0281585,0.08203281,0.000429414,0.003534759,0.004122367,,0.0281585,0.078002856,0.080200455
13,0.0327993,0.074000445,0.000159996,0.001560193,0.001882716,,0.0327993,0.075076013,0.07562044
14,0.0367371,0.064296356,4.79E-05,0.000644105,0.000839025,,0.0367371,0.070262337,0.069602941
15,0.0402502,0.054601576,1.37E-05,0.000285339,0.000343677,,0.0402502,0.064128439,0.062064514
16,0.0431422,0.045225991,6.32E-06,0.000120437,0.000159614,,0.0431422,0.056837604,0.054230111
17,0.0450086,0.036741938,1.83E-06,4.43E-05,6.55E-05,,0.0450086,0.049601757,0.046242491
18,0.0463019,0.029111051,9.43E-07,1.95E-05,2.70E-05,,0.0463019,0.042325276,0.03880076
19,0.0470288,0.023039406,0,5.69E-06,1.29E-05,,0.0470288,0.035618966,0.032029982
20,0.0466678,0.017758062,0,2.17E-06,5.05E-06,,0.0466678,0.029543739,0.025869933
21,0.0459662,0.013474496,0,1.49E-06,4.42E-07,,0.0459662,0.02400988,0.020992384
22,0.0444947,0.010159309,0,8.10E-07,8.83E-07,,0.0444947,0.019582183,0.016577573
23,0.0428173,0.007606378,0,0,0,,0.0428173,0.015628269,0.012978818
24,0.0408481,0.005592997,0,0,0,,0.0408481,0.012336109,0.010077189
25,0.0385647,0.004116075,0,0,0,,0.0385647,0.009673844,0.007765419
26,0.0359808,0.002945608,0,0,0,,0.0359808,0.007527703,0.005906226
27,0.0333518,0.002122238,0,0,0,,0.0333518,0.005786472,0.004454245
28,0.0308189,0.001536582,0,0,0,,0.0308189,0.004430176,0.00336355
29,0.028139,0.001100535,0,0,0,,0.028139,0.003398508,0.002501639
30,0.0255677,0.000751319,0,0,0,,0.0255677,0.002544775,0.001855378
31,0.0231206,0.000527926,0,0,0,,0.0231206,0.001917864,0.001388792
32,0.020783,0.00036943,0,0,0,,0.020783,0.001435998,0.001024088
33,0.0186044,0.000244857,0,0,0,,0.0186044,0.001067465,0.000726153
34,0.016531,0.000168519,0,0,0,,0.016531,0.000781095,0.000538693
35,0.0145487,0.000124775,0,0,0,,0.0145487,0.000585245,0.000378312
36,0.0130146,8.71E-05,0,0,0,,0.0130146,0.000420868,0.000272455
37,0.0113813,5.98E-05,0,0,0,,0.0113813,0.000311422,0.000189258
38,0.0099255,4.10E-05,0,0,0,,0.0099255,0.000217205,0.00013533
39,0.0086952,2.73E-05,0,0,0,,0.0086952,0.000157842,0.000103243
40,0.0075301,1.68E-05,0,0,0,,0.0075301,0.000120459,7.49629E-05
41,0.0064709,1.28E-05,0,0,0,,0.0064709,8.87789E-05,5.34322E-05
42,0.0056318,8.93E-06,0,0,0,,0.0056318,6.45469E-05,3.88806E-05
43,0.0048089,4.82E-06,0,0,0,,0.0048089,4.62019E-05,2.60646E-05
44,0.0041819,3.38E-06,0,0,0,,0.0041819,3.16032E-05,1.70668E-05
45,0.0035421,2.75E-06,0,0,0,,0.0035421,2.34828E-05,1.33882E-05
46,0.003041,1.64E-06,0,0,0,,0.003041,1.49644E-05,8.92684E-06
47,0.0025729,8.34E-07,0,0,0,,0.0025729,1.23192E-05,4.59984E-06
48,0.0022184,1.93E-07,0,0,0,,0.0022184,8.45186E-06,4.91182E-06
49,0.0018534,6.68E-07,0,0,0,,0.0018534,4.12761E-06,2.45623E-06
50,0.0015667,4.89E-07,0,0,0,,0.0015667,4.72201E-06,2.57067E-06
51,0.0013203,3.86E-07,0,0,0,,0.0013203,2.41231E-06,1.36027E-06
52,0.0011176,1.93E-07,0,0,0,,0.0011176,2.50304E-06,7.65254E-07
53,0.000925,0,0,0,0,,0.000925,1.51017E-06,1.74236E-07
54,0.0007994,0,0,0,0,,0.0007994,7.80542E-07,6.80763E-07
55,0.0006565,0,0,0,0,,0.0006565,1.67332E-07,5.22709E-07
56,0.0005659,0,0,0,0,,0.0005659,5.09261E-07,3.48473E-07
57,0.000453,0,0,0,0,,0.000453,5.01997E-07,2.92672E-07
58,0.0003807,0,0,0,0,,0.0003807,3.34665E-07,0
59,0.0003245,0,0,0,0,,0.0003245,3.34665E-07,0
60,0.0002616,0,0,0,0,,0.0002616,1.67332E-07,0
61,0.0002165,0,0,0,0,,0.0002165,0,0
62,0.0001826,0,0,0,0,,0.0001826,0,0
63,0.0001466,0,0,0,0,,0.0001466,0,0
64,0.0001171,0,0,0,0,,0.0001171,0,0
65,9.91E-05,0,0,0,0,,0.0000991,0,0
66,7.94E-05,0,0,0,0,,0.0000794,0,0
67,7.13E-05,0,0,0,0,,0.0000713,0,0
68,5.87E-05,0,0,0,0,,0.0000587,0,0
69,4.91E-05,0,0,0,0,,0.0000491,0,0
70,4.04E-05,0,0,0,0,,0.0000404,0,0
71,3.34E-05,0,0,0,0,,0.0000334,0,0
72,2.72E-05,0,0,0,0,,0.0000272,0,0
73,2.38E-05,0,0,0,0,,0.0000238,0,0
74,1.57E-05,0,0,0,0,,0.0000157,0,0
75,1.49E-05,0,0,0,0,,0.0000149,0,0
76,1.18E-05,0,0,0,0,,0.0000118,0,0
77,8.80E-06,0,0,0,0,,0.0000088,0,0
78,8.30E-06,0,0,0,0,,0.0000083,0,0
79,6.80E-06,0,0,0,0,,0.0000068,0,0
80,5.20E-06,0,0,0,0,,0.0000052,0,0
81,4.70E-06,0,0,0,0,,0.0000047,0,0
82,2.40E-06,0,0,0,0,,0.0000024,0,0
83,2.50E-06,0,0,0,0,,0.0000025,0,0
84,3.00E-06,0,0,0,0,,0.000003,0,0
85,1.60E-06,0,0,0,0,,0.0000016,0,0
86,1.10E-06,0,0,0,0,,0.0000011,0,0
87,1.50E-06,0,0,0,0,,0.0000015,0,0
88,1.30E-06,0,0,0,0,,0.0000013,0,0
89,7.00E-07,0,0,0,0,,0.0000007,0,0
90,5.00E-07,0,0,0,0,,0.0000005,0,0
91,4.00E-07,0,0,0,0,,0.0000004,0,0
92,1.00E-07,0,0,0,0,,0.0000001,0,0
93,1.00E-07,0,0,0,0,,0.0000001,0,0
94,4.00E-07,0,0,0,0,,0.0000004,0,0
95,3.00E-07,0,0,0,0,,0.0000003,0,0
96,3.00E-07,0,0,0,0,,0.0000003,0,0
97,2.00E-07,0,0,0,0,,0.0000002,0,0
98,2.00E-07,0,0,0,0,,0.0000002,0,0
99,2.00E-07,0,0,0,0,,0.0000002,0,0
100,1.00E-07,0,0,0,0,,0.0000001,0,0
101,1.00E-07,0,0,0,0,,0.0000001,0,0
